Rk,Player,BPM,G,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team
49,Malcolm Brogdon,1.3,463,MIL,2,36,2016,Virginia,2016-17,2024-25,24-32,463,296,0,33.4,115,113,22.3,11.1,0.119,1.7,-0.4,1.3,11.2,16.9,3,12.6,7.8,24.3,1.3,0.7,11.3,22.4,G,"BOS,IND,MIL,POR,WAS"
50,Paul Reed,1.3,301,PHI,2,58,2020,DePaul,2020-21,2025-26,21-26,301,36,0,13.9,121,106,6.3,7.7,0.175,-0.6,1.9,1.3,3.1,19.1,14.7,20.9,17.8,9.8,3,5.3,13.1,17.1,C-F,"DET,PHI"
51,Jamal Murray,1.2,589,DEN,1,7,2016,Kentucky,2016-17,2025-26,19-28,589,515,1,44.7,115,115,30.8,13.9,0.115,2.3,-1.1,1.2,15.3,17.6,2.6,10.7,6.7,23.3,1.6,1,11.2,25,G,DEN
52,Cameron Johnson,1.2,374,MIN,1,11,2019,North Carolina,2019-20,2025-26,23-29,374,215,0,24.9,120,114,15.5,9.3,0.119,1.4,-0.2,1.2,8.2,14.7,3.2,13,8.1,10.9,1.5,1.1,7.9,18.6,F,"BRK,DEN,PHO"
53,Jakob Poeltl,1.2,619,TOR,1,9,2016,Utah,2016-17,2025-26,21-30,619,364,0,46.1,124,110,27.6,18.4,0.159,0.2,1,1.2,11.2,18.9,12.9,21.1,16.9,11.8,1.4,4.8,14.8,15.7,C,"SAS,TOR"
54,Mason Plumlee,1.2,874,NJN,1,22,2013,Duke,2013-14,2025-26,23-35,874,480,0,58.2,119,108,34.1,24.1,0.148,-0.2,1.4,1.2,15.2,17.5,10.4,23.5,16.9,15.8,1.6,3.2,17.5,16,C-F,"BRK,CHO,DEN,DET,LAC,PHO,POR"
55,Lauri Markkanen,1.2,492,MIN,1,7,2017,Arizona,2017-18,2025-26,20-28,492,466,1,36.8,117,115,25,11.8,0.115,2.4,-1.2,1.2,12.1,17.7,5,19.8,12.4,7.7,1.1,1.4,8.1,23.6,F-C,"CHI,CLE,UTA"
56,Jaylin Williams,1.1,209,OKC,2,34,2022,Arkansas,2022-23,2025-26,20-23,209,54,0,9.8,118,108,3.6,6.3,0.137,-0.8,1.9,1.1,2.7,13.1,4.9,24.8,15.1,15.1,1.4,2.7,13.1,14.2,F,OKC
57,Donte DiVincenzo,1.1,475,MIL,1,17,2018,Villanova,2018-19,2025-26,22-29,475,259,0,28.4,114,111,12,16.4,0.11,0.2,1,1.1,9.9,13.6,3.9,13.6,8.8,15.9,2.2,1,13,17.9,G,"GSW,MIL,MIN,NYK,SAC"
58,Larry Nance Jr.,1.1,572,LAL,1,27,2015,Wyoming,2015-16,2025-26,23-33,572,139,0,35,121,110,20.7,14.4,0.13,-0.1,1.2,1.1,10.1,16,8.6,20.7,14.6,11.7,2.4,1.9,12.5,13.8,F-C,"ATL,CLE,LAL,NOP,POR"
59,Devin Booker,1.1,717,PHO,1,13,2015,Kentucky,2015-16,2025-26,19-29,717,692,5,55.5,113,116,41.2,14.4,0.108,2.5,-1.4,1.1,19.2,18.9,2.1,10.9,6.5,25.6,1.2,0.7,12.6,30.2,G,PHO
60,CJ McCollum,1.1,842,POR,1,10,2013,Lehigh,2013-14,2025-26,22-34,842,729,0,53.6,111,115,36.6,17,0.096,2.2,-1.1,1.1,20.9,17.2,2.2,10.1,6.2,19.5,1.4,1.1,9.3,26.2,G,"ATL,NOP,POR,WAS"
61,Julius Randle,1.1,769,LAL,1,7,2014,Kentucky,2014-15,2025-26,20-31,769,689,3,56.2,111,111,29,27.2,0.109,1.3,-0.2,1.1,19.1,18.2,6.6,23.8,15.1,19.9,1.1,1.1,14,26.6,F-C,"LAL,MIN,NOP,NYK"
62,Michael Porter Jr.,1,390,DEN,1,14,2018,Missouri,2019-20,2025-26,21-27,390,336,0,29.7,119,115,18.4,11.3,0.124,2.3,-1.3,1,8.8,17.5,5.3,19.2,12.3,8.5,1.1,1.7,8.5,22.4,F,"BRK,DEN"
63,Obi Toppin,1,365,NYK,1,8,2020,Dayton,2020-21,2025-26,22-27,365,47,0,16.6,121,114,10.3,6.3,0.126,1.1,-0.1,1,4.8,16.1,4.7,17.2,10.9,9.9,1.2,1.9,9.4,18.8,F,"IND,NYK"
64,Thomas Bryant,1,374,UTA,2,42,2017,Indiana,2017-18,2025-26,20-28,374,146,0,21.9,127,112,15.2,6.7,0.166,1.4,-0.4,1,4.8,19.3,8.6,22.8,15.7,8.3,0.9,3.5,9.4,18,C,"CLE,DEN,IND,LAL,MIA,WAS"
65,Andre Drummond,1,948,DET,1,9,2012,Connecticut,2012-13,2025-26,19-32,948,685,2,79.2,110,102,30.5,48.7,0.152,0.5,0.4,1,18.8,21.5,16.8,33.7,25,7.4,2.3,4,13.5,21.5,C,"BRK,CHI,CLE,DET,LAL,PHI"
66,Matisse Thybulle,1,354,BOS,1,20,2019,Washington,2019-20,2025-26,22-28,354,124,0,14.5,111,109,3.1,11.4,0.095,-2.5,3.4,1,5.5,10.9,3.1,7.9,5.5,7.2,3.7,3.4,11.5,10.4,G,"PHI,POR"
67,De'Aaron Fox,1,579,SAC,1,5,2017,Kentucky,2017-18,2025-26,20-28,579,565,2,38.3,111,115,22.8,15.4,0.096,1.6,-0.6,1,14.3,18.5,2,11.1,6.5,29.2,2.1,1.1,12.4,28.1,G,"SAC,SAS"
